Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,University,College,Program,Student_Type,Enrollment_Year,Dropout_Reason,Predicted_Target,Prob_Dropout,Prob_Enrolled,Prob_Graduate,Risk_Score,Risk_Label,Engagement_Flag
1,8,5,2,1,1,1,13,10,6,10,1,0,0,1,1,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout,Khalifa University,College of Computing & Mathematical Sciences,Data Science,Emirati,2019,Transferred to another university,Dropout,0.45035827,0.15008324,0.39955854,0.45035827,Medium,Normal
1,6,1,11,1,1,1,1,3,4,4,1,0,0,0,1,0,19,0,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,Graduate,HCT,Faculty of Business,Business Technology,Emirati,2019,,Graduate,0.2565586,0.13021986,0.6132216,0.2565586,Medium,Normal
1,1,5,5,1,1,1,22,27,10,10,1,0,0,0,1,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout,Abu Dhabi University,College of Arts & Sciences,Mathematics,Expat,2020,Financial difficulties,Dropout,0.5542794,0.1318766,0.31384403,0.5542794,High,Normal
1,8,2,15,1,1,1,23,27,6,4,1,0,0,1,0,0,20,0,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate,Zayed University,College of Communication & Media Sciences,Public Relations,Expat,2019,,Graduate,0.22695133,0.13261971,0.64042896,0.22695133,Low,Normal
2,12,1,3,0,1,1,22,28,10,10,0,0,0,1,0,0,45,0,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Graduate,UAEU,College of Engineering,Computer Engineering,Emirati,2019,,Graduate,0.21201412,0.123130634,0.6648553,0.21201412,Low,Normal
2,12,1,17,0,12,1,22,27,10,8,0,0,1,1,1,0,50,0,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduate,Abu Dhabi University,College of Engineering,Civil Engineering,Expat,2022,,Graduate,0.25633413,0.1500696,0.5935963,0.25633413,Medium,Normal
1,1,1,12,1,1,1,13,28,8,11,1,0,0,1,0,1,18,0,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,Graduate,Khalifa University,College of Computing & Mathematical Sciences,Computer Science,Expat,2020,,Graduate,0.2118982,0.12314874,0.66495305,0.2118982,Low,Normal
1,9,4,11,1,1,1,22,27,10,10,1,0,0,0,1,0,22,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout,Khalifa University,College of Computing & Mathematical Sciences,Data Science,Expat,2019,Work commitment,Dropout,0.5542794,0.1318766,0.31384403,0.5542794,High,Normal
1,1,3,10,1,1,15,1,1,10,10,0,0,0,1,0,1,21,1,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0,16.2,0.3,-0.92,Graduate,UAEU,College of Business & Economics,Economics,Expat,2021,,Graduate,0.21164106,0.124212846,0.6641461,0.21164106,Low,Normal
1,1,1,10,1,1,1,1,14,5,8,1,0,1,0,0,0,18,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout,HCT,Faculty of Business,Logistics & Transport,Emirati,2019,Academic failure,Dropout,0.5198601,0.16307892,0.31706098,0.5198601,High,Normal
1,1,1,14,1,1,1,23,14,6,8,1,0,0,1,0,0,18,0,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate,AUS,School of Engineering,Mechanical Engineering,Expat,2020,,Graduate,0.21642739,0.13099998,0.65257263,0.21642739,Low,Normal
1,1,1,12,1,1,1,13,28,10,10,1,0,0,1,0,1,18,0,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,Graduate,Abu Dhabi University,College of Business Administration,Supply Chain Management,Emirati,2023,,Graduate,0.22706565,0.16958131,0.603353,0.22706565,Low,Normal
1,1,2,16,1,1,1,13,27,5,10,1,0,0,1,0,0,19,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout,Zayed University,College of Education,Early Childhood Education,Emirati,2019,Academic failure,Dropout,0.5542794,0.1318766,0.31384403,0.5542794,High,Normal
1,17,1,11,1,16,1,1,1,5,8,1,0,0,1,0,1,21,0,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduate,Khalifa University,College of Medicine,Biomedical Research,Emirati,2022,,Graduate,0.23548605,0.16730434,0.59720963,0.23548605,Low,Normal
1,1,1,6,1,1,1,23,27,6,6,1,0,0,1,0,1,18,0,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduate,HCT,Faculty of Health Sciences,Medical Laboratory,Emirati,2019,,Graduate,0.2118982,0.12314874,0.66495305,0.2118982,Low,Normal
1,1,1,15,1,1,1,13,27,10,4,1,0,0,1,0,0,20,0,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout,AUS,College of Arts & Sciences,Mass Communication,Expat,2021,Transferred to another university,Dropout,0.52899605,0.15446399,0.31653994,0.52899605,High,Normal
